minute,class,TVC,MQ135,MQ136,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,Humidity,Temperature
53,excellent,2.585713389,25.6,36.35,27.95,14.71,48.6,7.56,2.19,1.38,32.09,15.75,56.5,33.9
54,excellent,2.586189406,24.29,33.4,26.2,14.47,41.54,6.79,2.24,1.47,30.57,14.94,56.5,33.9
55,excellent,2.586671027,24.29,33.4,26.07,14.53,41.25,6.81,2.23,1.48,30.73,15.31,56.5,33.9
56,excellent,2.587158312,24.17,32.85,26.07,14.53,41.25,6.76,2.23,1.47,30.41,14.76,56.5,33.9
57,excellent,2.587651321,24.17,33.21,26.07,14.53,41.83,6.79,2.23,1.44,30.25,14.88,56.5,33.9
58,excellent,2.588150114,23.95,33.03,26.2,14.59,41.54,6.76,2.23,1.45,30.25,15.25,56.5,33.9
59,excellent,2.588654753,23.95,32.32,25.82,14.36,40.96,6.68,2.22,1.45,30.09,15.18,56.5,33.8
60,excellent,2.589165299,23.72,32.32,26.2,14.42,40.96,6.6,2.23,1.47,30.41,15.25,56.5,33.9
61,excellent,2.589681814,23.72,32.67,26.07,14.53,41.83,6.52,2.24,1.47,31.4,15.18,56.5,33.8
62,excellent,2.590204361,23.95,32.49,26.07,14.53,41.83,6.7,2.24,1.48,30.25,14.7,56.5,33.8
63,excellent,2.590733003,23.61,33.03,26.46,14.59,41.83,6.68,2.24,1.47,30.09,15.06,56.5,33.8
64,excellent,2.591267804,23.72,33.21,26.46,14.65,41.83,6.7,2.24,1.49,30.41,15.18,56.5,33.8
65,excellent,2.591808827,23.61,32.14,25.82,14.36,40.96,6.7,2.22,1.45,30.57,15,56.5,33.8
66,excellent,2.592356136,23.39,32.49,25.82,14.36,40.96,6.65,2.22,1.45,29.61,14.64,56.5,33.5
67,excellent,2.592909798,22.96,31.8,25.69,14.3,40.11,6.46,2.22,1.44,29.3,14.7,56.5,33.8
68,excellent,2.593469877,22.54,31.29,25.69,14.13,39.29,6.36,2.21,1.47,29.3,14.46,56.5,33.8
69,excellent,2.59403644,22.24,30.8,24.96,13.96,36.99,6.16,2.17,1.39,28.12,14.11,56.5,33.8
70,excellent,2.594609552,21.93,30,24.72,13.9,36.27,6.11,2.18,1.44,28.26,14.23,56.5,33.9
71,excellent,2.595189282,20.6,28.63,23.69,13.35,33.2,5.67,2.12,1.37,26.2,13.61,56.5,33.8
72,excellent,2.595775695,20.42,27.92,23.47,13.3,32.6,5.48,2.11,1.37,25.95,13.4,56.5,33.7
73,excellent,2.596368861,20.24,27.78,23.47,13.35,32.4,5.43,2.13,1.38,26.07,13.45,56.5,33.7
74,excellent,2.596968847,19.45,26.82,22.83,12.98,30.35,5.28,2.11,1.35,25.07,13.34,56.5,33.6
75,excellent,2.597575723,18.87,25.79,22.2,12.78,28.82,4.97,2.08,1.33,24.36,12.62,56.5,33.6
76,excellent,2.598189557,18.87,25.54,21.9,12.78,28.82,5.08,2.13,1.34,24.48,12.67,56.5,33.6
77,excellent,2.598810419,21.64,29.08,24.14,14.13,36.99,5.84,2.31,1.44,28.7,14.06,56.5,33.7
78,excellent,2.599438381,18.47,26.82,23.04,13.09,30.53,5.1,2.06,1.32,24.83,13.03,56.5,33.7
79,excellent,2.600073512,20.97,29.08,24.03,13.9,35.13,5.74,2.23,1.42,27.69,14.11,56.5,33.7
80,excellent,2.600715883,22.03,30.31,24.72,14.36,39.56,6.08,2.28,1.44,29.3,14.17,56.5,33.7
81,excellent,2.601365567,22.24,31.12,25.32,14.42,40.11,6.11,2.27,1.45,29.46,14.4,56.5,33.8
82,excellent,2.602022635,22.34,31.63,25.32,14.47,40.96,6.13,2.26,1.47,29.61,14.7,56.5,33.7
83,excellent,2.60268716,22.54,32.32,25.82,14.53,41.25,6.13,2.26,1.47,29.93,15.06,56.5,33.8
84,excellent,2.603359215,22.54,32.67,26.2,14.59,41.54,6.06,2.26,1.47,29.93,15.06,56.5,33.8
85,excellent,2.604038874,22.65,32.85,26.46,14.59,41.54,6.41,2.26,1.47,30.09,14.64,56.5,33.8
86,excellent,2.60472621,22.65,33.03,26.59,14.59,41.83,6.46,2.26,1.47,30.09,14.46,56.5,33.8
87,excellent,2.605421298,22.65,33.4,26.72,14.59,42.13,6.46,2.26,1.48,30.25,14.46,56.5,33.9
88,excellent,2.606124213,22.75,33.4,26.85,14.59,42.13,6.49,2.24,1.48,30.25,14.94,56.5,33.8
89,excellent,2.606835029,22.75,33.58,26.98,14.59,42.44,6.46,2.24,1.48,30.25,14.46,56.5,33.8
90,excellent,2.607553823,22.75,33.58,26.98,14.59,42.13,6.18,2.24,1.48,30.25,14.64,56.5,33.8
91,excellent,2.608280671,22.75,33.77,26.98,14.59,42.44,6.11,2.23,1.48,30.41,14.64,56.5,33.8
92,excellent,2.609015649,22.75,33.77,26.85,14.59,42.44,6.23,2.23,1.47,30.25,14.76,56.5,33.8
93,excellent,2.609758834,22.75,33.96,26.85,14.59,42.13,6.31,2.23,1.47,30.25,14.88,56.5,33.7
94,excellent,2.610510304,22.75,33.96,26.85,14.59,42.44,6.26,2.23,1.47,30.25,14.58,56.5,33.7
95,excellent,2.611270136,22.86,33.96,26.98,14.59,42.44,6.23,2.23,1.48,30.41,14.58,56.5,33.7
96,excellent,2.612038409,22.86,34.15,26.98,14.59,42.74,6.16,2.23,1.47,30.41,14.4,56.5,33.7
97,excellent,2.612815201,22.65,33.96,26.85,14.59,42.44,6.13,2.22,1.47,30.25,14.52,56.5,33.7
98,excellent,2.613600591,22.65,33.96,26.46,14.59,42.44,6.08,2.23,1.47,30.41,14.58,56.5,33.7
99,excellent,2.614394659,22.65,33.77,26.85,14.53,42.13,6.18,2.23,1.48,30.41,14.52,56.5,33.7
100,excellent,2.615197484,22.54,33.77,26.72,14.53,42.13,6.08,2.22,1.47,30.25,14.46,56.5,33.7
101,excellent,2.616009146,22.44,33.58,26.72,14.53,41.54,6.11,2.22,1.47,30.25,14.58,56.5,33.7
102,excellent,2.616829726,22.24,33.21,26.46,14.42,41.25,6.28,2.22,1.47,29.93,14.29,56.5,33.7
103,excellent,2.617659306,22.14,33.03,26.33,14.36,40.67,6.21,2.21,1.45,29.77,14.23,56.5,33.7
104,excellent,2.618497965,22.03,33.03,26.46,14.36,40.39,6.16,2.21,1.47,29.61,14.29,56.5,33.7
105,excellent,2.619345786,21.64,32.32,26.07,14.24,39.29,6.13,2.19,1.45,29.15,14.11,56.5,33.7
106,excellent,2.62020285,20.24,30.8,26.07,13.68,33.41,5.39,2.12,1.4,27.41,13.56,56.5,33.8
107,excellent,2.62106924,20.51,30,24.96,13.84,35.58,5.86,2.19,1.42,27.83,13.72,56.5,33.8
108,excellent,2.621945038,20.15,29.53,24.72,13.62,34.47,5.69,2.16,1.4,27.27,13.56,56.5,33.8
109,excellent,2.622830328,20.06,29.08,24.37,13.68,34.25,5.69,2.18,1.42,28.41,13.56,56.5,33.8
110,excellent,2.623725193,21.16,30.63,25.44,14.24,38.5,6.08,2.26,1.45,29.15,14.23,56.5,33.8
